ID,Tenure,Title,Industry,Week1Emails,Week2Emails,Week3Emails,Week4Emails,Week5Emails,Week6Emails,Week7Emails,Week8Emails,NewWeek1Emails,NewWeek2Emails,NewWeek3Emails,NewWeek4Emails,NewWeek5Emails,NewWeek6Emails,NewWeek7Emails,NewWeek8Emails,EmailTotal,EmailAvg,NewEmailTotal,NewEmailAvg
39,Veteran,VP,Professional Businesses,52,32,50,45,51,53,46,46,49,34,28,16,65,25,78,78,375,46.875,373,46.625
40,Veteran,VP,Education,57,26,56,17,15,35,21,37,50,42,36,24,46,35,47,47,264,33,327,40.875
41,Tenured,AVP,Professional Businesses,11,14,5,14,10,5,13,14,5,21,14,19,18,13,17,17,86,10.75,124,15.5
42,Veteran,VP,Education,22,43,35,64,15,65,64,70,60,69,79,14,69,63,19,19,378,47.25,392,49
43,Tenured,AVP,Healthcare,15,25,18,10,3,28,28,30,25,31,28,6,30,27,25,25,157,19.625,197,24.625
44,Veteran,VP,Education,31,32,32,26,58,36,38,30,42,34,27,2,23,30,25,25,283,35.375,208,26
45,Tenured,AVP,Professional Businesses,35,52,46,64,33,55,24,27,42,37,21,10,30,28,25,25,336,42,218,27.25
46,Leader,VP,Healthcare,45,28,29,53,38,24,26,19,16,28,22,4,26,4,28,28,262,32.75,156,19.5
47,Tenured,AVP,Professional Businesses,1,10,19,15,6,9,14,6,11,6,16,18,14,15,3,3,80,10,86,10.75
48,Veteran,AVP,Education,24,14,13,25,14,25,33,23,13,57,11,22,18,22,44,44,171,21.375,231,28.875
49,Veteran,AVP,Technology Manufacturing and Distribution,17,36,20,27,12,16,46,10,18,30,22,2,9,23,14,14,184,23,132,16.5
50,Leader,VP,Professional Businesses,21,17,29,40,32,39,22,20,11,31,8,10,12,16,25,25,220,27.5,138,17.25
51,Veteran,AVP,Education,26,16,20,9,14,14,13,17,22,95,30,9,10,10,17,17,129,16.125,210,26.25
52,Leader,VP,Education,36,41,43,38,22,36,34,20,36,38,41,14,33,28,34,34,270,33.75,258,32.25
53,Leader,VP,Technology Manufacturing and Distribution,21,29,12,32,39,40,44,23,17,22,27,3,21,36,26,26,240,30,178,22.25
54,Tenured,AVP,Healthcare,49,68,31,78,41,32,10,12,27,20,27,9,29,33,41,41,321,40.125,227,28.375
55,Tenured,AVP,Professional Businesses,54,77,67,54,70,37,74,73,99,73,55,11,87,76,75,75,506,63.25,551,68.875
